name,category,price,unit,stock,image,description,sourcing,storage,variations
"Tender Coconut / Nariyal Pani","Fruits",75,"1 Pc",60,"https://cdn2.clevup.in/252374/SKU-0315_0-1753671226877.png?format=webp","Tender Coconut (नारियल पानी) by E - VEGETABLE BAZAAR
Quench your thirst the natural way with Fresh Green Tender Coconut Water, sourced directly from lush tropical groves and brought to you by E - VEGETABLE BAZAAR. Packed with essential electrolytes and nutrients, our tender coconut water is the perf","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""1 Piece"",""price"":75,""stock"":40},{""weight"":""2 Pieces"",""price"":145,""stock"":30},{""weight"":""4 Pieces"",""price"":280,""stock"":20}]"
"Arbi ( अरबी)","Vegetables",72,"1 kg",80,"https://cdn2.clevup.in/252374/Untitleddesign-1725463617202.jpeg?format=webp","Fresh and Nutritious Arbi (अरबी) – Perfect for Your Kitchen!Discover the earthy goodness of Arbi (अरबी), a versatile and nutrient-rich root vegetable available exclusively at SubziQuick Green Bazaar. Loved for its rich texture and unique flavor, Arbi is a staple ingredient in Indian households and a must","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":20,""stock"":40},{""weight"":""500g"",""price"":37,""stock"":50},{""weight"":""1 kg"",""price"":72,""stock"":60},{""weight"":""2 kg"",""price"":140,""stock"":30}]"
"Arbi Leaf","Vegetables",30,"1 kg",60,"https://cdn2.clevup.in/252374/SKU-0483_0-1752808253981.jpg?format=webp","Fresh and Nutritious Arbi Leaf – Your Perfect Ingredient for Healthy MealsDiscover the incredible versatility and nutritional power of Arbi Leaf, now available at SubziQuick Green Bazaar. Packed with essential vitamins and minerals, these vibrant green leaves are a must-have for any health-conscious kitc","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""250g"",""price"":10,""stock"":40},{""weight"":""500g"",""price"":18,""stock"":50},{""weight"":""1 kg"",""price"":30,""stock"":60},{""weight"":""2 kg"",""price"":59,""stock"":30}]"
"Ash Gourd / Bhura Kaddu","Vegetables",80,"1 kg",60,"https://cdn2.clevup.in/252374/SKU-0513_0-1782436300777.png?format=webp","Discover Freshness with Ash Gourd from E Vegetable BazaarLooking to add a versatile and nutrient-rich vegetable to your daily diet? Ash Gourd, available at E Vegetable Bazaar, is a perfect choice. Known for its mild flavor and numerous health benefits, this incredible vegetable is a staple in kitche","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""250g"",""price"":22,""stock"":40},{""weight"":""500g"",""price"":42,""stock"":50},{""weight"":""1 kg"",""price"":80,""stock"":60},{""weight"":""2 kg"",""price"":156,""stock"":30}]"
"Ash gourd (सफेद कद्दू)","Vegetables",80,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Ash gourd (सफेद कद्दू) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":22,""stock"":40},{""weight"":""500g"",""price"":42,""stock"":50},{""weight"":""1 kg"",""price"":80,""stock"":60},{""weight"":""2 kg"",""price"":156,""stock"":30}]"
"Badi Mirch","Vegetables",60,"1 kg",60,"https://cdn2.clevup.in/252374/SKU-0436_0-1740382853479.jpg?format=webp","Spice Up Your Dishes with Badi Mirch 250g from SubziQuick Green BazaarLooking to add a bold, flavorful kick to your meals? Our Badi Mirch 250g, brought to you by SubziQuick Green Bazaar, is the perfect choice for those who love a hint of heat in their cooking. Carefully sourced and packed for freshness, this pr","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""100g"",""price"":10,""stock"":50},{""weight"":""250g"",""price"":18,""stock"":60},{""weight"":""500g"",""price"":32,""stock"":40},{""weight"":""1 kg"",""price"":60,""stock"":25}]"
"Barbati ( बरबटी)","Vegetables",72,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Barbati ( बरबटी) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":20,""stock"":40},{""weight"":""500g"",""price"":37,""stock"":50},{""weight"":""1 kg"",""price"":72,""stock"":60},{""weight"":""2 kg"",""price"":140,""stock"":30}]"
"Beet Root (चुकंदर)","Vegetables",64,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Beet Root (चुकंदर) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":18,""stock"":40},{""weight"":""500g"",""price"":33,""stock"":50},{""weight"":""1 kg"",""price"":64,""stock"":60},{""weight"":""2 kg"",""price"":125,""stock"":30}]"
"Beetroot (चुकंदर)","Vegetables",30,"1 kg",60,"https://cdn2.clevup.in/252374/SKU-0324_0--1726135324258.jpeg?format=webp","Beetroot, often simply called beet, is a deeply hued, versatile root vegetable known for its rich purple-red color, sweet flavor, and numerous health benefits. Packed with essential nutrients, beetroots are an excellent source of fiber, folate (vitamin B9), manganese, potassium, iron, and vitamin C.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""250g"",""price"":10,""stock"":40},{""weight"":""500g"",""price"":18,""stock"":50},{""weight"":""1 kg"",""price"":30,""stock"":60},{""weight"":""2 kg"",""price"":59,""stock"":30}]"
"Bharta Bringle (भरता बैगन)","Vegetables",76,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Bharta Bringle (भरता बैगन) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":21,""stock"":40},{""weight"":""500g"",""price"":40,""stock"":50},{""weight"":""1 kg"",""price"":76,""stock"":60},{""weight"":""2 kg"",""price"":148,""stock"":30}]"
"Bharta Eggplant (भर्ता बैंगन)","Vegetables",80,"1 kg",60,"https://cdn2.clevup.in/252374/SKU-0342_0-1710059982703.png?format=webp","Savor the rustic essence of traditional flavors with our Bharta Eggplant, a culinary staple at E - VEGETABLE BAZAAR. These eggplants, selected specifically for their soft flesh and smoky undertones, are ideal for creating the classic Indian dish, Baingan ka Bharta. They roast to perfection, yielding","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""250g"",""price"":22,""stock"":40},{""weight"":""500g"",""price"":42,""stock"":50},{""weight"":""1 kg"",""price"":80,""stock"":60},{""weight"":""2 kg"",""price"":156,""stock"":30}]"
"Big Size Garlic ( लहसुन बिग साइज )","Vegetables",180,"1 kg",80,"https://images.unsplash.com/photo-1540148426945-6cf22a6b2383?auto=format&fit=crop&w=600&q=80","100% farm-fresh Big Size Garlic ( लहसुन बिग साइज ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""100g"",""price"":22,""stock"":40},{""weight"":""250g"",""price"":50,""stock"":50},{""weight"":""500g"",""price"":95,""stock"":40},{""weight"":""1 kg"",""price"":180,""stock"":25}]"
"Bitter Gourd","Vegetables",30,"1 kg",60,"https://cdn2.clevup.in/252374/SKU-0237_0-1751593826803.png?format=webp","Product Descriptions&nbsp;The images on this website/App are meant to be samples only and are not intended to provide a perfect match to the actual product or color. The images may differ from the actual product due to reproduction limitations of the photograph. Therefore, Freshgo is not be held res","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""250g"",""price"":10,""stock"":40},{""weight"":""500g"",""price"":18,""stock"":50},{""weight"":""1 kg"",""price"":30,""stock"":60},{""weight"":""2 kg"",""price"":59,""stock"":30}]"
"Black Bringle Small (काले बैगन)","Vegetables",54,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Black Bringle Small (काले बैगन) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":15,""stock"":40},{""weight"":""500g"",""price"":28,""stock"":50},{""weight"":""1 kg"",""price"":54,""stock"":60},{""weight"":""2 kg"",""price"":105,""stock"":30}]"
"Black Brinjal (काला बैंगन)","Vegetables",30,"1 kg",60,"https://cdn2.clevup.in/252374/SKU-0341_0-1710059663839.jpeg?format=webp","Black Brinjal (काला बैंगन) – A Culinary Treasure from E - VEGETABLE BAZAARDiscover the magic of Small Black Brinjals, a must-have ingredient for every kitchen enthusiast. With their deep, almost black, glossy-purple skin and creamy, tender flesh, these petite brinjals are a feast for both the eyes a","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""250g"",""price"":10,""stock"":40},{""weight"":""500g"",""price"":18,""stock"":50},{""weight"":""1 kg"",""price"":30,""stock"":60},{""weight"":""2 kg"",""price"":59,""stock"":30}]"
"Bottle Gourd (लोकी)","Vegetables",40,"1 kg",60,"https://cdn2.clevup.in/252374/1669291200691_SKU-0010_01-1725786901290.jpeg?format=webp","Fresh Bottle Gourd (लोकी) - Nature’s Wholesome DelightWelcome to E VEGETABLE BAZAAR, your trusted source for farm-fresh produce. Introducing our premium-quality Bottle Gourd (लोकी), a versatile and nutrient-rich vegetable that deserves a spot in your kitchen. Whether you&#x27;re preparing comforting curr","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""250g"",""price"":11,""stock"":40},{""weight"":""500g"",""price"":21,""stock"":50},{""weight"":""1 kg"",""price"":40,""stock"":60},{""weight"":""2 kg"",""price"":78,""stock"":30}]"
"Bottle gouard (लौकी )","Vegetables",58,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Bottle gouard (लौकी ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":16,""stock"":40},{""weight"":""500g"",""price"":30,""stock"":50},{""weight"":""1 kg"",""price"":58,""stock"":60},{""weight"":""2 kg"",""price"":113,""stock"":30}]"
"Cabbage (पत्ता गोभी)","Vegetables",64,"1 kg",80,"https://cdn2.clevup.in/252374/1690729276228_SKU-0299_0-1725883327619.jpeg?format=webp","Cabbage is a versatile and widely consumed vegetable that belongs to the Brassicaceae family. It is a cruciferous vegetable and is closely related to other vegetables like broccoli, cauliflower, and Brussels sprouts. Cabbage is known for its dense, leafy head and is a popular choice in various cuisi","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":18,""stock"":40},{""weight"":""500g"",""price"":33,""stock"":50},{""weight"":""1 kg"",""price"":64,""stock"":60},{""weight"":""2 kg"",""price"":125,""stock"":30}]"
"Capsicum ( शिमला मिर्च)","Vegetables",80,"1 kg",80,"https://cdn2.clevup.in/252374/1690729862310_SKU-0306_0.jpg?format=webp","Capsicum, also known as bell pepper or sweet pepper, is a popular and colorful vegetable that belongs to the Solanaceae family. It is native to the Americas but is now cultivated worldwide due to its widespread culinary use and appealing taste.
Capsicum comes in various colors, including green, red,","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":22,""stock"":40},{""weight"":""500g"",""price"":42,""stock"":50},{""weight"":""1 kg"",""price"":80,""stock"":60},{""weight"":""2 kg"",""price"":156,""stock"":30}]"
"Carrot (गाजर)","Vegetables",50,"1 kg",60,"https://cdn2.clevup.in/252374/SKU-0322_0-1742790386313.jpg?format=webp","Carrots are a versatile root vegetable easily recognizable by their vibrant orange hue, although they can come in a variety of colors such as purple, black, red, white, and yellow. Known for their crunchy texture and sweet, earthy flavor, carrots are a staple in many cuisines worldwide. They are ric","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""250g"",""price"":14,""stock"":40},{""weight"":""500g"",""price"":26,""stock"":50},{""weight"":""1 kg"",""price"":50,""stock"":60},{""weight"":""2 kg"",""price"":98,""stock"":30}]"
"Cauliflower (फूल गोभी)","Vegetables",80,"1 kg",80,"https://cdn2.clevup.in/252374/1669196907703_SKU-0004_0-1725619693129.jpeg?format=webp","100% farm-fresh Cauliflower (फूल गोभी) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":22,""stock"":40},{""weight"":""500g"",""price"":42,""stock"":50},{""weight"":""1 kg"",""price"":80,""stock"":60},{""weight"":""2 kg"",""price"":156,""stock"":30}]"
"Cluster Beans (गवार फल्ली )","Vegetables",80,"1 kg",80,"https://cdn2.clevup.in/252374/SKU-0351_0-1714715465379.jpeg?format=webp","100% farm-fresh Cluster Beans (गवार फल्ली ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":22,""stock"":40},{""weight"":""500g"",""price"":42,""stock"":50},{""weight"":""1 kg"",""price"":80,""stock"":60},{""weight"":""2 kg"",""price"":156,""stock"":30}]"
"Coriander (धनिया)","Vegetables",60,"1 kg",60,"https://cdn2.clevup.in/252374/SKU-0326_0-1709708842074.png?format=webp","Coriander leaves, also known as cilantro in some regions, are the fresh, green leaves of the Coriandrum sativum plant. These leaves are commonly used in a variety of culinary dishes worldwide, offering a distinct, lively flavor that can be described as a mix of lemony, tangy, and a bit peppery. The","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""100g"",""price"":10,""stock"":50},{""weight"":""250g"",""price"":18,""stock"":60},{""weight"":""500g"",""price"":32,""stock"":40},{""weight"":""1 kg"",""price"":60,""stock"":25}]"
"Coriander Leaf","Vegetables",60,"1 kg",60,"https://cdn2.clevup.in/252374/SKU-0428_0-1736859856615.jpg?format=webp","Fresh, aromatic coriander leaves, perfect for garnishing or adding flavor to your dishes. Available in a 50g pack, absolutely free for all customers. Get yours today while supplies last!","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""100g"",""price"":10,""stock"":50},{""weight"":""250g"",""price"":18,""stock"":60},{""weight"":""500g"",""price"":32,""stock"":40},{""weight"":""1 kg"",""price"":60,""stock"":25}]"
"Coriander leaves (धनिया पत्ती)","Vegetables",60,"1 kg",80,"https://images.unsplash.com/photo-1588879462716-59a60714b18c?auto=format&fit=crop&w=600&q=80","100% farm-fresh Coriander leaves (धनिया पत्ती) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""100g"",""price"":10,""stock"":50},{""weight"":""250g"",""price"":18,""stock"":60},{""weight"":""500g"",""price"":32,""stock"":40},{""weight"":""1 kg"",""price"":60,""stock"":25}]"
"Cucumber (खीरा/ककड़ी)","Vegetables",45,"1 kg",80,"https://cdn2.clevup.in/252374/SKU-0321_0-1709707137587.webp?format=webp","Cucumbers are a widely cultivated plant in the gourd family, Cucurbitaceae. Known scientifically as *Cucumis sativus*, cucumbers are characterized by their crisp texture and high water content, making them a refreshing addition to salads, sandwiches, and various dishes. Typically elongated, cucumber","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":13,""stock"":40},{""weight"":""500g"",""price"":23,""stock"":50},{""weight"":""1 kg"",""price"":45,""stock"":60},{""weight"":""2 kg"",""price"":88,""stock"":30}]"
"Desi Tomato (देसी टमाटर)","Vegetables",35,"1 kg",80,"https://cdn2.clevup.in/252374/SKU-0340_0-1710059383058-1725883150831.jpeg?format=webp","100% farm-fresh Desi Tomato (देसी टमाटर) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""500g"",""price"":18,""stock"":60},{""weight"":""1 kg"",""price"":35,""stock"":80},{""weight"":""2 kg"",""price"":68,""stock"":45}]"
"Drum Sticks (मूंगा फली )","Vegetables",80,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Drum Sticks (मूंगा फली ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":22,""stock"":40},{""weight"":""500g"",""price"":42,""stock"":50},{""weight"":""1 kg"",""price"":80,""stock"":60},{""weight"":""2 kg"",""price"":156,""stock"":30}]"
"Drumsticks (मुंगाफली)","Vegetables",30,"1 kg",60,"https://cdn2.clevup.in/252374/Drum1-1725462911286.jpeg?format=webp","Fresh Drumsticks (मुंगाफली) - A Nutritious Delight for Every Kitchen!Enhance the flavor and nutrition of your meals with our premium-quality Drumsticks (मुंगाफली), available exclusively at SubziQuick Green Bazaar. Known for their unique taste and numerous health benefits, drumsticks are a must-have vegetab","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""250g"",""price"":10,""stock"":40},{""weight"":""500g"",""price"":18,""stock"":50},{""weight"":""1 kg"",""price"":30,""stock"":60},{""weight"":""2 kg"",""price"":59,""stock"":30}]"
"Essential Trio","Vegetables",80,"1 kg",60,"https://cdn2.clevup.in/252374/SKU-0487_0-1753334780139.png?format=webp","Essential Trio – Aloo, Pyaz, Tamatar @
A perfect daily combo of kitchen essentials!This handpicked pack includes:✅ Potato – 1 kg✅ Onion – 1 kg✅ Tomato – 1 kg✨ Total MRP: ₹100 | Offer Price: ₹95 OnlyWhether you&#x27;re making sabzi, tadka, or gravy – this combo covers your everyday needs with farm-fresh v","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""250g"",""price"":22,""stock"":40},{""weight"":""500g"",""price"":42,""stock"":50},{""weight"":""1 kg"",""price"":80,""stock"":60},{""weight"":""2 kg"",""price"":156,""stock"":30}]"
"French Beans (फ्रेंच बीन्स)","Vegetables",30,"1 kg",60,"https://cdn2.clevup.in/252374/SKU-0345_0-1710060914184.jpeg?format=webp","Introducing our &quot;Gourmet Delight French Beans&quot; at E - VEGETABLE BAZAAR - a true culinary treasure. These tender, slender beans are celebrated for their delicate texture and sweet, grassy flavor. Perfectly suited for a myriad of dishes, from elegant salads to comforting casseroles, our French Beans e","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""250g"",""price"":10,""stock"":40},{""weight"":""500g"",""price"":18,""stock"":50},{""weight"":""1 kg"",""price"":30,""stock"":60},{""weight"":""2 kg"",""price"":59,""stock"":30}]"
"Frozen Green Peas","Vegetables",80,"1 kg",60,"https://cdn2.clevup.in/252374/SKU-0498_0-1787805286621.png?format=webp","Safal Frozen Green Peas ! 100% Natural &amp; Preservative-Free
Enjoy the sweetness and freshness of green peas all year round with Safal Frozen Green Peas. Harvested at peak ripeness, these peas are Individually Quick Frozen (IQF) to lock in their natural flavor, vibrant green color, and essential n","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""250g"",""price"":22,""stock"":40},{""weight"":""500g"",""price"":42,""stock"":50},{""weight"":""1 kg"",""price"":80,""stock"":60},{""weight"":""2 kg"",""price"":156,""stock"":30}]"
"Gilki (गिलकी )","Vegetables",80,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Gilki (गिलकी ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":22,""stock"":40},{""weight"":""500g"",""price"":42,""stock"":50},{""weight"":""1 kg"",""price"":80,""stock"":60},{""weight"":""2 kg"",""price"":156,""stock"":30}]"
"Ginger (अदरक )","Vegetables",120,"1 kg",80,"https://cdn2.clevup.in/252374/ginger-1726135373501.jpeg?format=webp","Ginger: The Spicy Root of WellnessDiscover the bold and invigorating world of ginger at SubziQuick Green Bazaar! Our premium-quality ginger roots are harvested with care to bring you the freshest and most flavorful experience possible. With its distinctive spicy taste and a hint of lemony sweetness, ginge","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""100g"",""price"":15,""stock"":40},{""weight"":""250g"",""price"":35,""stock"":50},{""weight"":""500g"",""price"":65,""stock"":40},{""weight"":""1 kg"",""price"":120,""stock"":25}]"
"Green Bringle (हरा बैगन)","Vegetables",54,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Green Bringle (हरा बैगन) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":15,""stock"":40},{""weight"":""500g"",""price"":28,""stock"":50},{""weight"":""1 kg"",""price"":54,""stock"":60},{""weight"":""2 kg"",""price"":105,""stock"":30}]"
"Green Brinjal (हरा बैंगन)","Vegetables",30,"1 kg",60,"https://cdn2.clevup.in/252374/1690730242316_SKU-0310_0.jpeg?format=webp","Green brinjal, also known as green eggplant or green aubergine, is a variety of eggplant (Solanum melongena) that is harvested and consumed while still young and unripe. It belongs to the Solanaceae family and is a close relative of other eggplant varieties, such as purple or black brinjal.
Green br","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""250g"",""price"":10,""stock"":40},{""weight"":""500g"",""price"":18,""stock"":50},{""weight"":""1 kg"",""price"":30,""stock"":60},{""weight"":""2 kg"",""price"":59,""stock"":30}]"
"Green Chili - teekhi (हरी मिर्च - तीखी)","Vegetables",60,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Green Chili - teekhi (हरी मिर्च - तीखी) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""100g"",""price"":10,""stock"":50},{""weight"":""250g"",""price"":18,""stock"":60},{""weight"":""500g"",""price"":32,""stock"":40},{""weight"":""1 kg"",""price"":60,""stock"":25}]"
"Green Chili-Feeki (हरी मिर्च - फीकी)","Vegetables",60,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Green Chili-Feeki (हरी मिर्च - फीकी) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""100g"",""price"":10,""stock"":50},{""weight"":""250g"",""price"":18,""stock"":60},{""weight"":""500g"",""price"":32,""stock"":40},{""weight"":""1 kg"",""price"":60,""stock"":25}]"
"Green Chilli (Dark)","Vegetables",60,"1 kg",60,"https://cdn2.clevup.in/275981/1669196683308_SKU-0003_0.jpg?format=webp","Green Chilli (Dark) - Add a Fiery Kick to Your Dishes!E VEGETABLE BAZAAR proudly presents Green Chilli (Dark), the ultimate choice for spice enthusiasts who crave bold flavors. This vibrant variety of green chili is known for its deep, dark hue and intense heat, making it a must-have ingredient for","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""100g"",""price"":10,""stock"":50},{""weight"":""250g"",""price"":18,""stock"":60},{""weight"":""500g"",""price"":32,""stock"":40},{""weight"":""1 kg"",""price"":60,""stock"":25}]"
